Step,Reward/Raw_Episode,Reward/Average_100_Episodes,Training/Success_Rate,Safety/Shield_Activations,Training/Episode_Length,Outcome/Type,Training/Learning_Rate,Loss/Policy_Loss,Loss/Value_Loss,Training/Entropy,Training/Approx_KL
1,-338.36590576171875,-338.36590576171875,0.0,0.0,999.0,0.0,0.0003000000142492354,,,,
2,-324.83502197265625,-331.6004638671875,0.0,0.0,999.0,0.0,0.00029990001348778605,0.03038676641881466,0.5110933780670166,2.839104413986206,0.032245732843875885
3,-342.73236083984375,-335.31109619140625,0.0,0.0,999.0,0.0,0.0002998000127263367,,,,
4,-332.7002868652344,-334.65838623046875,0.0,0.0,999.0,0.0,0.0002997000119648874,-0.004938203375786543,0.49869242310523987,2.8412747383117676,0.0015341087710112333
5,-303.6097106933594,-328.44866943359375,0.0,0.0,881.0,3.0,0.00029960001120343804,,,,
6,-230.06686401367188,-312.05169677734375,0.0,0.0,679.0,3.0,0.0002995000104419887,,,,
7,-242.8787078857422,-302.16986083984375,0.0,0.0,671.0,3.0,0.00029940000968053937,0.0006984380888752639,0.49189627170562744,2.841733455657959,0.00425109313800931
8,-312.9417724609375,-303.5163269042969,0.0,0.0,999.0,0.0,0.00029930000891909003,,,,
9,-326.0860290527344,-306.0240478515625,0.0,0.0,911.0,3.0,0.0002992000081576407,-0.004342217463999987,0.48066651821136475,2.8414812088012695,0.0036127138882875443
10,-302.34393310546875,-305.65606689453125,0.0,0.0,895.0,3.0,0.00029910000739619136,,,,
11,-269.919677734375,-302.40728759765625,0.0,0.0,776.0,3.0,0.000299000006634742,,,,
12,-244.0042724609375,-297.5403747558594,0.0,0.0,715.0,3.0,0.0002989000058732927,-0.0013945754617452621,0.4912281632423401,2.840075969696045,0.004468127619475126
13,-202.60984802246094,-290.2380065917969,0.0,0.0,570.0,3.0,0.00029880000511184335,,,,
14,-74.1046142578125,-274.7998962402344,0.0,0.0,230.0,3.0,0.000298700004350394,,,,
15,-132.1768035888672,-265.29168701171875,0.0,0.0,374.0,3.0,0.0002986000035889447,,,,
16,-218.54830932617188,-262.3702697753906,0.0,0.0,634.0,3.0,0.00029850000282749534,-0.0033588092774152756,0.4878285527229309,2.8386480808258057,0.003603501943871379
17,-143.76229858398438,-255.39332580566406,0.0,0.0,423.0,3.0,0.000298400002066046,,,,
18,-136.14198303222656,-248.76824951171875,0.0,0.0,407.0,3.0,0.00029830000130459666,,,,
19,-228.22137451171875,-247.68682861328125,0.0,0.0,634.0,3.0,0.0002982000005431473,,,,
20,-81.025146484375,-239.353759765625,0.0,0.0,232.0,3.0,0.000298099999781698,0.000496087537612766,0.44524484872817993,2.8364012241363525,0.002284934278577566
21,-99.17344665527344,-232.67849731445312,0.0,0.0,308.0,3.0,0.00029799999902024865,,,,
22,-116.47055053710938,-227.39633178710938,0.0,0.0,326.0,3.0,0.0002978999982587993,,,,
23,-117.71495056152344,-222.6275634765625,0.0,0.0,323.0,3.0,0.00029779999749735,,,,
24,-233.48184204101562,-223.07981872558594,0.0,0.0,647.0,3.0,0.00029769999673590064,,,,
25,-65.2183837890625,-216.76535034179688,0.0,0.0,180.0,3.0,0.0002975999959744513,,,,
26,-108.3838119506836,-212.59683227539062,0.0,0.0,300.0,3.0,0.00029749999521300197,-0.0034145573154091835,0.4223780333995819,2.83105206489563,0.005116467364132404
27,-86.41881561279297,-207.92356872558594,0.0,0.0,281.0,3.0,0.00029739999445155263,,,,
28,-53.92231750488281,-202.4235382080078,0.0,0.0,155.0,3.0,0.0002972999936901033,,,,
29,-65.16300964355469,-197.69041442871094,0.0,0.0,207.0,3.0,0.00029719999292865396,,,,
30,-97.77899169921875,-194.3600311279297,0.0,0.0,288.0,3.0,0.0002970999921672046,,,,
31,-116.0722885131836,-191.83460998535156,0.0,0.0,374.0,3.0,0.0002969999914057553,,,,
32,-83.08219909667969,-188.4361114501953,0.0,0.0,288.0,3.0,0.00029689999064430594,,,,
33,-75.46641540527344,-185.01278686523438,0.0,0.0,231.0,3.0,0.0002967999898828566,,,,
34,-23.399333953857422,-180.2594451904297,0.0,0.0,51.0,3.0,0.00029669998912140727,0.003872607136145234,0.37975600361824036,2.8257389068603516,0.00394948897883296
35,-108.7987289428711,-178.21771240234375,0.0,0.0,315.0,3.0,0.00029659998835995793,,,,
36,-48.20012664794922,-174.6061248779297,0.0,0.0,153.0,3.0,0.0002964999875985086,,,,
37,-43.91626739501953,-171.073974609375,0.0,0.0,126.0,3.0,0.00029639998683705926,,,,
38,-34.46874237060547,-167.47909545898438,0.0,0.0,95.0,3.0,0.0002962999860756099,,,,
39,-94.22527313232422,-165.6007843017578,0.0,0.0,295.0,3.0,0.00029620001441799104,,,,
