Step,Reward/Raw_Episode,Reward/Average_100_Episodes,Training/Success_Rate,Safety/Shield_Activations,Training/Episode_Length,Outcome/Type,Training/Learning_Rate,Loss/Policy_Loss,Loss/Value_Loss,Training/Entropy,Training/Approx_KL
1,-334.7710876464844,-334.7710876464844,0.0,0.0,999.0,0.0,0.0003000000142492354,,,,
2,-331.2022705078125,-332.9866943359375,0.0,0.0,999.0,0.0,0.00029990001348778605,0.024411356076598167,0.5172867774963379,2.8376965522766113,0.024818969890475273
3,-335.6190490722656,-333.8641357421875,0.0,0.0,957.0,3.0,0.0002998000127263367,,,,
4,-320.9688720703125,-330.64031982421875,0.0,0.0,999.0,0.0,0.0002997000119648874,,,,
5,-322.1402893066406,-328.9403076171875,0.0,0.0,999.0,0.0,0.00029960001120343804,-0.008845889940857887,0.5029700994491577,2.8372819423675537,0.0017372133443132043
6,-220.9598388671875,-310.9435729980469,0.0,0.0,654.0,3.0,0.0002995000104419887,,,,
7,-258.84930419921875,-303.50152587890625,0.0,0.0,822.0,3.0,0.00029940000968053937,-0.0035957107320427895,0.4980340003967285,2.8368921279907227,0.0024270135909318924
8,-125.0309829711914,-281.19268798828125,0.0,0.0,349.0,3.0,0.00029930000891909003,,,,
9,-138.84681701660156,-265.3764953613281,0.0,0.0,409.0,3.0,0.0002992000081576407,,,,
10,-52.98059844970703,-244.1369171142578,0.0,0.0,122.0,3.0,0.00029910000739619136,,,,
11,-328.93310546875,-251.8456573486328,0.0,0.0,999.0,0.0,0.000299000006634742,0.0024880205746740103,0.4987054765224457,2.8344950675964355,0.0026631325017660856
12,-313.9952697753906,-257.0248107910156,0.0,0.0,999.0,0.0,0.0002989000058732927,,,,
13,-309.8193664550781,-261.0859069824219,0.0,0.0,964.0,3.0,0.00029880000511184335,0.003523749066516757,0.49872303009033203,2.829313039779663,0.0018048350466415286
14,-66.22262573242188,-247.1671142578125,0.0,0.0,188.0,3.0,0.000298700004350394,,,,
15,-195.4542236328125,-243.71958923339844,0.0,0.0,550.0,3.0,0.0002986000035889447,,,,
16,-177.74903869628906,-239.59640502929688,0.0,0.0,535.0,3.0,0.00029850000282749534,,,,
