Step,Reward/Raw_Episode,Reward/Average_100_Episodes,Training/Success_Rate,Safety/Shield_Activations,Training/Episode_Length,Outcome/Type,Training/Learning_Rate,Loss/Policy_Loss,Loss/Value_Loss,Training/Entropy,Training/Approx_KL
1,-193.68711853027344,-193.68711853027344,0.0,0.0,589.0,3.0,0.0003000000142492354,,,,
2,-175.0449676513672,-184.3660430908203,0.0,0.0,511.0,3.0,0.0002999250136781484,,,,
3,-254.55172729492188,-207.7612762451172,0.0,0.0,802.0,3.0,0.0002998500131070614,,,,
4,-212.60740661621094,-208.97280883789062,0.0,0.0,645.0,3.0,0.0002997750125359744,0.02387933060526848,0.5119931101799011,2.838667154312134,0.02566927671432495
5,-320.8741760253906,-231.3530731201172,0.0,0.0,999.0,0.0,0.0002997000119648874,,,,
6,-242.07626342773438,-233.14027404785156,0.0,0.0,715.0,3.0,0.0002996250113938004,-0.005704908166080713,0.4979993999004364,2.839064598083496,0.0037456813734024763
7,-328.0639953613281,-246.7008056640625,0.0,0.0,999.0,0.0,0.0002995500108227134,,,,
8,-324.21893310546875,-256.39056396484375,0.0,0.0,999.0,0.0,0.00029947501025162637,-0.0003591308486647904,0.49188926815986633,2.8375370502471924,0.0049518076702952385
9,-305.9798278808594,-261.9004821777344,0.0,0.0,912.0,3.0,0.00029940000968053937,,,,
10,-331.4145202636719,-268.85186767578125,0.0,0.0,999.0,0.0,0.00029932500910945237,-0.001255264738574624,0.4892635643482208,2.835627555847168,0.0034473955165594816
11,-337.05767822265625,-275.0523986816406,0.0,0.0,999.0,0.0,0.00029925000853836536,,,,
12,-311.3800354003906,-278.0797119140625,0.0,0.0,999.0,0.0,0.00029917500796727836,-0.006697181612253189,0.5001842379570007,2.833582878112793,0.005672867875546217
13,-321.7217712402344,-281.4367980957031,0.0,0.0,999.0,0.0,0.00029910000739619136,,,,
14,-337.0499267578125,-285.4091491699219,0.0,0.0,999.0,0.0,0.00029902500682510436,-0.0013960652286186814,0.48814427852630615,2.8306212425231934,0.0023884389083832502
15,-125.76451110839844,-274.76617431640625,0.0,0.0,357.0,3.0,0.00029895000625401735,,,,
16,-230.4362030029297,-271.99554443359375,0.0,0.0,687.0,3.0,0.00029887500568293035,,,,
17,-188.4185333251953,-267.0792541503906,0.0,0.0,543.0,3.0,0.00029880000511184335,,,,
18,-319.5893249511719,-269.9964599609375,0.0,0.0,999.0,0.0,0.00029872500454075634,0.0015129831153899431,0.48892679810523987,2.826889753341675,0.0005582890007644892
19,-316.2489929199219,-272.4308166503906,0.0,0.0,999.0,0.0,0.00029865000396966934,,,,
20,-299.7290344238281,-273.79571533203125,0.0,0.0,999.0,0.0,0.00029857500339858234,-0.0010123744141310453,0.5016072392463684,2.823350667953491,0.0034596596378833055
21,-302.3573913574219,-275.15582275390625,0.0,0.0,999.0,0.0,0.00029850000282749534,,,,
22,-309.5708312988281,-276.7201232910156,0.0,0.0,999.0,0.0,0.00029842500225640833,-0.0023968848399817944,0.5019025802612305,2.819157361984253,0.0031215983908623457
