Step,Reward/Raw_Episode,Reward/Average_100_Episodes,Training/Success_Rate,Safety/Shield_Activations,Training/Episode_Length,Outcome/Type,Training/Learning_Rate,Loss/Policy_Loss,Loss/Value_Loss,Training/Entropy,Training/Approx_KL
1,-345.85626220703125,-345.85626220703125,0.0,0.0,999.0,0.0,0.0003000000142492354,,,,
2,-372.1179504394531,-358.98712158203125,0.0,0.0,999.0,0.0,0.00029990001348778605,0.024499617516994476,0.5210263133049011,2.8363423347473145,0.028463492169976234
3,-387.379150390625,-368.4511413574219,0.0,0.0,999.0,0.0,0.0002998000127263367,,,,
4,-376.178466796875,-370.3829650878906,0.0,0.0,999.0,0.0,0.0002997000119648874,-0.02426077611744404,0.5035542845726013,2.832932949066162,0.006674392614513636
5,-353.24005126953125,-366.95440673828125,0.0,0.0,999.0,0.0,0.00029960001120343804,,,,
6,-145.5543212890625,-330.05438232421875,0.0,0.0,366.0,3.0,0.0002995000104419887,,,,
7,-370.9456787109375,-335.89599609375,0.0,0.0,999.0,0.0,0.00029940000968053937,0.014329961501061916,0.5018635988235474,2.8311986923217773,0.0032803532667458057
8,-191.5279083251953,-317.8499755859375,0.0,0.0,502.0,3.0,0.00029930000891909003,,,,
9,-364.0805969238281,-322.9866943359375,0.0,0.0,999.0,0.0,0.0002992000081576407,,,,
10,-346.55126953125,-325.3431701660156,0.0,0.0,999.0,0.0,0.00029910000739619136,0.00989566370844841,0.4970328211784363,2.830723762512207,0.004790550097823143
11,-363.226318359375,-328.7870788574219,0.0,0.0,999.0,0.0,0.000299000006634742,,,,
12,-350.51788330078125,-330.5979919433594,0.0,0.0,999.0,0.0,0.0002989000058732927,-0.002678664168342948,0.4981149733066559,2.828585386276245,0.003358188783749938
13,-355.90185546875,-332.54443359375,0.0,0.0,999.0,0.0,0.00029880000511184335,,,,
14,-342.50726318359375,-333.2560729980469,0.0,0.0,981.0,3.0,0.000298700004350394,-0.007237784564495087,0.4943865239620209,2.8265790939331055,0.0072395396418869495
15,-345.57177734375,-334.0771179199219,0.0,0.0,999.0,0.0,0.0002986000035889447,,,,
16,-336.92333984375,-334.2550048828125,0.0,0.0,999.0,0.0,0.00029850000282749534,-0.0003896872221957892,0.4986174404621124,2.825330972671509,0.0024491725489497185
17,-337.76458740234375,-334.4614562988281,0.0,0.0,999.0,0.0,0.000298400002066046,,,,
18,-105.3380126953125,-321.73236083984375,0.0,0.0,277.0,3.0,0.00029830000130459666,0.000184328033355996,0.49325478076934814,2.8211545944213867,0.00290258158929646
19,-336.8258972167969,-322.5267639160156,0.0,0.0,999.0,0.0,0.0002982000005431473,,,,
20,-331.71307373046875,-322.9860534667969,0.0,0.0,999.0,0.0,0.000298099999781698,-0.0007923466037027538,0.48200225830078125,2.8172574043273926,0.0028622245881706476
21,-343.7663879394531,-323.9756164550781,0.0,0.0,999.0,0.0,0.00029799999902024865,,,,
22,-314.4749450683594,-323.54376220703125,0.0,0.0,999.0,0.0,0.0002978999982587993,-0.0006821057759225368,0.4514913558959961,2.813286542892456,0.00266623985953629
23,-337.0753479003906,-324.132080078125,0.0,0.0,999.0,0.0,0.00029779999749735,,,,
24,-318.61480712890625,-323.9021911621094,0.0,0.0,999.0,0.0,0.00029769999673590064,0.0016745126340538263,0.4458056092262268,2.809408664703369,0.003628632053732872
25,-334.6239013671875,-324.3310852050781,0.0,0.0,999.0,0.0,0.0002975999959744513,,,,
26,-257.0964050292969,-321.7451171875,0.0,0.0,708.0,3.0,0.00029749999521300197,,,,
27,-321.15936279296875,-321.7234191894531,0.0,0.0,999.0,0.0,0.00029739999445155263,-0.00039544832543469965,0.5121747255325317,2.8042287826538086,0.0028159667272120714
28,-333.630859375,-322.148681640625,0.0,0.0,999.0,0.0,0.0002972999936901033,,,,
29,-328.9287414550781,-322.3824768066406,0.0,0.0,999.0,0.0,0.00029719999292865396,-0.0016137497732415795,0.4263928532600403,2.8008792400360107,0.00011433578765718266
30,-335.6620788574219,-322.82513427734375,0.0,0.0,999.0,0.0,0.0002970999921672046,,,,
31,-339.32794189453125,-323.35748291015625,0.0,0.0,999.0,0.0,0.0002969999914057553,-0.008798284456133842,0.46029794216156006,2.799755811691284,0.003939951304346323
32,-347.0635070800781,-324.09832763671875,0.0,0.0,999.0,0.0,0.00029689999064430594,,,,
33,-318.8307800292969,-323.938720703125,0.0,0.0,999.0,0.0,0.0002967999898828566,0.0019493333529680967,0.4743210971355438,2.7994043827056885,0.0024855826050043106
34,-343.9761047363281,-324.528076171875,0.0,0.0,999.0,0.0,0.00029669998912140727,,,,
35,-343.0329895019531,-325.0567932128906,0.0,0.0,999.0,0.0,0.00029659998835995793,0.0022921529598534107,0.502031147480011,2.799269676208496,0.001910956110805273
36,-329.2442932128906,-325.173095703125,0.0,0.0,999.0,0.0,0.0002964999875985086,,,,
37,-336.3886413574219,-325.4762268066406,0.0,0.0,999.0,0.0,0.00029639998683705926,-0.0013716064859181643,0.48407188057899475,2.7945470809936523,0.0018888723570853472
38,-336.3286437988281,-325.7618103027344,0.0,0.0,999.0,0.0,0.0002962999860756099,,,,
39,-334.280517578125,-325.9802551269531,0.0,0.0,999.0,0.0,0.00029620001441799104,-0.01352961640805006,0.445795476436615,2.7911736965179443,0.002570106415078044
40,-345.71466064453125,-326.47357177734375,0.0,0.0,999.0,0.0,0.0002961000136565417,,,,
41,-336.01123046875,-326.7061767578125,0.0,0.0,999.0,0.0,0.00029600001289509237,0.016841117292642593,0.5425890684127808,2.7879297733306885,0.002154619200155139
42,-323.07513427734375,-326.6197204589844,0.0,0.0,999.0,0.0,0.00029590001213364303,,,,
